index,val
1367,solar
1368,solar
1369,solar
1370,solar
1371,solar
1372,solar
1373,solar
1374,solar
1375,solar
1376,solar
1377,solar
1378,solar
1379,solar
1380,solar
1381,water
1382,solar
1383,solar
1384,solar
1385,solar
1386,wind
1387,wind
1388,wind
1389,wind
1390,wind
1391,water
1392,water
1393,solar
1394,solar
1395,solar
1396,solar
1397,solar
1398,solar
1399,solar
1400,solar
1401,gas
1402,gas
1403,gas
1404,gas
1405,gas
1406,gas
1407,wind
1408,wind
1409,wind
1410,wind
1411,wind
1412,wind
1413,wind
1414,wind
1415,wind
1416,wind
1417,wind
1418,wind
1419,wind
1420,wind
1421,wind
1422,wind
1423,wind
1424,solar
1425,solar
1426,solar
1427,solar
1428,solar
1429,solar
1430,solar
1431,solar
1432,solar
1433,solar
1434,solar
1435,solar
1436,solar
1437,solar
1438,solar
1439,solar
1440,solar
1441,solar
1442,water
1443,solar
1444,solar
1445,solar
1446,solar
1447,solar
1448,solar
1449,solar
1450,solar
1451,solar
1452,solar
1453,solar
1454,solar
1455,solar
1456,solar
1457,solar
1458,solar
1459,solar
1460,solar
1461,solar
1462,solar
1463,solar
1464,water
1465,wind
1466,wind
1467,wind
1468,wind
1469,wind
1470,wind
1471,wind
1472,water
1473,water
1474,water
1475,wind
1476,wind
1477,wind
1478,wind
1479,wind
1480,wind
1481,wind
1482,wind
1483,gas
1484,gas
1485,gas
1486,gas
1487,gas
1488,wind
1489,wind
1490,wind
1491,wind
1492,wind
1493,wind
1494,wind
1495,wind
1496,wind
1497,wind
1498,wind
1499,wind
1500,wind
1501,wind
1502,wind
1503,wind
1504,wind
1505,wind
1506,wind
1507,solar
1508,solar
1509,solar
1510,solar
1511,solar
1512,solar
1513,solar
1514,solar
1515,solar
1516,solar
1517,solar
1518,solar
1519,solar
1520,solar
1521,solar
1522,solar
1523,solar
1524,solar
1525,solar
1526,solar
1527,solar
1528,solar
1529,solar
1530,solar
1531,solar
1532,solar
1533,solar
1534,solar
1535,solar
1536,solar
1537,solar
1538,solar
1539,solar
1540,solar
1541,solar
1542,solar
1543,solar
1544,water
1545,solar
1546,solar
1547,solar
1548,water
1549,water
1550,wind
1551,wind
1552,wind
1553,wind
1554,water
1555,water
1556,water
1557,water
1558,wind
1559,wind
1560,wind
1561,wind
1562,wind
1563,wind
1564,wind
1565,wind
1566,wind
1567,wind
1568,gas
1569,gas
1570,gas
1571,gas
1572,wind
1573,wind
1574,wind
1575,wind
1576,wind
1577,wind
1578,wind
1579,wind
1580,wind
1581,wind
1582,wind
1583,wind
1584,wind
1585,wind
1586,wind
1587,wind
1588,wind
1589,wind
1590,wind
1591,solar
1592,solar
1593,solar
1594,solar
1595,solar
1596,solar
